Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Equanimeous St. Brown,NO,4.3,56.7,0.6,0,2,0,0,11.6
Scotty Miller,PIT,5.6,69.5,0.3,0,1.3,0,0,11.4
Byron Pringle,WAS,3.9,44.9,0.6,0,2,0,0,10.2
Terrace Marshall Jr.,CAR,4.9,61.1,0.1,0,2,0,0,9.4
Josh Ali,ATL,3.6,43.9,0.3,0,0,0,0,8.2
Racey McMath,DAL,3.4,42.5,0.4,0,0,0,0,8.1
Tylan Wallace,BAL,4,50.7,0.1,0,2,0,0,7.9
Tyler Johnson,LAR,3.4,40.3,0.3,0,0,0,0,7.7
River Cracraft,MIA,3.7,42.2,0.2,0,0,0,0,7.5
Dareke Young,SEA,3.4,39.8,0.3,0,0,0,0,7.2
Easop Winston Jr.,SEA,3.4,39.6,0.3,0,0,0,0,7.2
Ihmir Smith-Marsette,CAR,2.4,28.6,0.2,2.1,14.2,0.1,0.1,7
Denzel Mims,JAC,3.4,39.9,0.2,0,0,0,0,6.9
Martavis Bryant,WAS,3.3,40.3,0.2,0,0,0,0,6.9
Jaelon Darden,CLE,3.2,37.2,0.2,0,0,0,0,6.5
DJ Turner,LV,3.3,37.4,0.2,0,0,0,0.1,6.5
James Proche II,CLE,3.2,37,0.2,0,0,0,0,6.4
Miles Boykin,NYG,3.3,36.2,0.2,0,0,0,0,6.3
Kristian Wilkerson,LV,2.9,34.8,0.2,0,0,0,0,6.1
Jha'Quan Jackson,TEN,4,41,0,0,0,0,0,6.1
Phillip Dorsett II,DEN,2.9,31.8,0.2,0,0,0,0,5.6
Damiere Byrd,BUF,2.5,36.7,0,0,2,0,0,5.3
Trishton Jackson,MIN,2.5,27.7,0.2,0,0,0,0,5.3
Britain Covey,PHI,2.8,29.7,0.1,0,0,0,0,4.9
Tre'Quan Smith,DET,1.9,24.4,0.2,0,0,0,0,4.4
Andy Isabella,BUF,1.8,23.5,0.2,0,0,0,0,4.3
N'Keal Harry,MIN,2,22.3,0.2,0,0,0,0,4.3
Velus Jones Jr.,CHI,1.9,25,0.1,0,3,0,0,4.2
Tom Kennedy,DET,1.7,22.2,0.2,0,0,0,0,4.1
Daurice Fountain,DET,1.7,22,0.2,0,0,0,0,4.1
Maurice Alexander,DET,1.7,22,0.2,0,0,0,0,4.1
Montrell Washington,KC,1.8,21.2,0.2,0,0,0,0,4
Samori Toure,GB,1.7,21.2,0.2,0,0,0,0,4
Braylon Sanders,MIA,1.8,20.2,0.2,0,0,0,0,3.9
Erik Ezukanma,MIA,1.8,20.1,0.2,0,0,0,0,3.9
Collin Johnson,CHI,1.7,20.4,0.2,0,0,0,0,3.9
Simi Fehoko,LAC,1.7,20.4,0.2,0,0,0,0,3.9
Seth Williams,JAC,1.8,19.9,0.2,0,0,0,0,3.9
Elijah Cooks,JAC,1.8,19.7,0.2,0,0,0,0,3.9
Anthony Schwartz,MIA,1.7,20,0.2,0,0,0,0,3.9
Stanley Morgan Jr.,NO,1.7,19.7,0.2,0,0,0,0,3.8
Cody White,SEA,1.7,19.5,0.2,0,0,0,0,3.8
Cephus Johnson III,TB,1.7,19.6,0.2,0,0,0,0,3.8
Dax Milne,LV,1.7,20,0.2,0,0,0,0,3.8
Irvin Charles,NYJ,1.7,19.1,0.2,0,0,0,0,3.8
Malik Taylor,NYJ,1.7,19.1,0.2,0,0,0,0,3.8
Lance McCutcheon,NYJ,1.7,18.9,0.2,0,0,0,0,3.7
Mason Kinsey,TEN,1.5,19.3,0.2,0,0,0,0,3.7
Colton Dowell,TEN,1.5,19.3,0.2,0,0,0,0,3.7
DeAndre Carter,CHI,2,21,0,0,6,0,0,3.7
Jacob Harris,PHI,1.6,18.5,0.2,0,0,0,0,3.7
Tyrie Cleveland,IND,1.5,18.4,0.2,0,0,0,0,3.6
Juwann Winfree,IND,1.5,18.1,0.2,0,0,0,0,3.6
Dez Fitzpatrick,PIT,1.5,16.6,0.2,0,0,0,0,3.4
Mike Strachan,CAR,1.5,19.7,0.1,0,0,0,0,3.4
Jalen Virgil,DEN,1.5,17.4,0.2,0,0,0,0,3.4
Andre Baccellia,ARI,1.5,16.7,0.2,0,0,0,0,3.3
David Sills,DEN,1.5,16.5,0.2,0,0,0,0,3.3
Gunner Olszewski,NYG,1.7,17.9,0.1,0,0,0,0,3.3
Kawaan Baker,NE,1.5,19.4,0.1,0,0,0,0,3.1
Quintez Cephus,HOU,0.5,1.5,0.1,0,0,0,0,0.8
