"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Craig Reynolds","DET","21.6","102.5","0.8","4.1","33.4","0.1","0.1","20.7"
"Dillon Johnson","CAR","0.0","107.0","1.0","3.0","22.0","0.0","0.0","20.4"
"Kevin Harris","NE","6.0","99.8","0.8","4.6","33.8","0.0","0.0","20.4"
"Hunter Luepke","DAL","8.4","31.2","1.4","5.7","39.1","0.2","0.0","19.4"
"Jeremy McNichols","WAS","14.1","56.8","0.0","8.0","65.0","0.5","0.0","19.4"
"Trayveon Williams","CIN","24.5","84.2","0.5","5.5","36.1","0.2","0.1","18.6"
"Dare Ogunbowale","HOU","16.7","60.3","0.2","8.1","59.4","0.2","0.1","18.2"
"Pierre Strong Jr.","CLE","19.2","103.7","0.7","2.7","19.9","0.0","0.0","17.9"
"Kenny McIntosh","SEA","27.6","82.6","0.4","5.1","36.5","0.2","0.1","17.8"
"Isaiah Spiller","LAC","26.1","87.7","0.7","3.4","20.5","0.0","0.0","16.7"
"Jeff Wilson Jr.","MIA","15.6","86.5","0.7","3.0","21.7","0.1","0.0","16.7"
"JaMycal Hasty","NE","19.5","66.0","0.4","5.6","37.4","0.1","0.1","16.2"
"Julius Chestnut","TEN","14.8","62.1","0.4","5.3","37.6","0.2","0.2","15.7"
"Emanuel Wilson","GB","2.2","70.5","0.5","4.1","29.9","0.1","0.0","15.6"
"Dante Miller","NYG","17.6","74.7","0.6","3.1","24.1","0.1","0.0","15.5"
"Emani Bailey","KC","29.0","87.5","0.5","2.5","23.0","0.0","0.0","15.3"
"Cam Akers","HOU","11.6","79.5","0.6","2.5","17.8","0.1","0.0","14.8"
"Jaret Patterson","LAC","16.7","71.0","0.4","4.0","27.5","0.1","0.1","14.7"
"Tyler Goodson","IND","2.4","61.4","0.5","4.0","28.7","0.1","0.0","14.4"
"Joshua Kelley","NYG","2.2","71.2","0.5","3.5","24.0","0.0","0.0","14.3"
"Cody Schrader","SF","33.0","84.5","0.5","1.5","14.5","0.0","0.0","13.7"
"Zonovan Knight","DET","17.7","68.7","0.5","2.1","16.6","0.1","0.0","13.1"
"Boston Scott","LAR","2.3","54.3","0.6","2.5","19.2","0.1","0.0","12.4"
"La'Mical Perine","PIT","12.7","52.6","0.3","3.7","26.4","0.1","0.1","12.2"
"Israel Abanikanda","NYJ","17.2","63.6","0.3","2.7","18.9","0.1","0.1","12.1"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.3","0.3","0.1","11.5"
"Matt Breida","SF","2.5","45.5","0.5","2.5","18.5","0.1","0.0","11.2"
"Sione Vaki","DET","12.7","53.1","0.4","2.0","14.5","0.1","0.1","10.8"
"Keaontay Ingram","KC","15.4","51.8","0.3","2.9","18.6","0.1","0.0","10.7"
"Raheem Blackshear","CAR","6.1","35.8","0.2","4.5","33.5","0.0","0.0","10.2"
"Myles Gaskin","MIN","13.5","53.1","0.3","2.1","14.1","0.1","0.1","9.8"
"Louis Rees-Zammit","KC","10.9","45.3","0.4","2.2","15.3","0.1","0.1","9.7"
"Sean Tucker","TB","10.0","38.8","0.2","2.8","20.5","0.1","0.0","9.0"
"Kene Nwangwu","MIN","9.6","42.7","0.2","2.7","17.8","0.1","0.0","8.9"
